랭킹,제목,가수
1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2,LOVE DIVE,IVE (아이브)
3,TOMBOY,(여자)아이들
4,사랑인가 봐,멜로망스
5,Feel My Rhythm,Red Velvet (레드벨벳)
6,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
7,사랑은 늘 도망가,임영웅
8,GANADARA (Feat. 아이유),박재범
9,우리들의 블루스,임영웅
10,LOVE me,BE'O (비오)
11,취중고백,김민석 (멜로망스)
12,INVU,태연 (TAEYEON)
13,이제 나만 믿어요,임영웅
14,듣고 싶을까,MSG워너비(M.O.M)
15,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
16,다시 사랑한다면 (김필 Ver.),임영웅
17,그대라는 사치,임영웅
18,ZOOM,제시 (Jessi)
19,ELEVEN,IVE (아이브)
20,신호등,이무진
21,별빛 같은 나의 사랑아,임영웅
22,다정히 내 이름을 부르면,"경서예지, 전건호"
23,HERO,임영웅
24,나의 X에게,경서
25,끝사랑,임영웅
26,Bk Love,임영웅
27,STAY,"The Kid LAROI, Justin Bieber"
28,MY BAG,(여자)아이들
29,SMILEY (Feat. BIBI),YENA (최예나)
30,Seoul,볼빨간사춘기
31,언제나 사랑해,케이시 (Kassy)
32,RUN2U,STAYC(스테이씨)
33,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
34,너를 생각해,주시크 (Joosiq)
35,드라마,아이유
36,Dynamite,방탄소년단
37,That's Hilarious,Charlie Puth
38,Next Level,aespa
39,Butter,방탄소년단
40,strawberry moon,아이유
41,Weekend,태연 (TAEYEON)
42,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
43,존재만으로,원슈타인
44,걷고 싶다,임영웅
45,Permission to Dance,방탄소년단
46,Counting Stars (Feat. Beenzino),BE'O (비오)
47,라일락,아이유
48,Step Back,GOT the beat
49,아무래도 난,주시크 (Joosiq)
50,호랑수월가,탑현
51,눈이 오잖아(Feat.헤이즈),이무진
52,Real Love,오마이걸 (OH MY GIRL)
53,내가 아니라도,주호
54,With you,"지민, 하성운"
55,바라만 본다,MSG워너비(M.O.M)
56,사랑인걸,한동근
57,"스물다섯, 스물하나",자우림
58,봄날,방탄소년단
59,너의 모든 순간,성시경
60,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In)
61,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)"
62,내 손을 잡아,아이유
63,Savage,aespa
64,어제처럼,폴킴
65,19금abcdefu,GAYLE
66,너의 번호를 누르고,김나영
67,Celebrity,아이유
68,My Universe,"Coldplay, 방탄소년단"
69,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
70,Blueming,아이유
71,Dreams Come True,aespa
72,Bad Habits,Ed Sheeran
73,문득,BE'O (비오)
74,밤하늘의 별을(2020),경서
75,Celeb,싸이 (PSY)
76,버퍼링 (Glitch Mode),NCT DREAM
77,고백,멜로망스
78,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
79,Off My Face,Justin Bieber
80,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick)
81,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
82,헤픈 우연,헤이즈 (Heize)
83,Starlight,태일 (TAEIL)
84,LOVE,몬스타엑스
85,Dun Dun Dance,오마이걸 (OH MY GIRL)
86,Darl+ing,세븐틴
87,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
88,감동이야 (feat. 성시경),싸이 (PSY)
89,Christmas Tree,V
90,내 생에 아름다운,이예준
91,서랍,10CM
92,롤린 (Rollin'),브레이브걸스
93,낙하 (with 아이유),AKMU (악뮤)
94,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유"
95,언덕나무,이승윤
96,나는 트로트가 싫어요,임창정
97,Stronger (What Doesn't Kill You),Kelly Clarkson
98,겨울잠,아이유
99,그대가 있기에,노을
100,Can't Control Myself,태연 (TAEYEON)
